video_id	label_L0_raw	label_L0	label_L1_subject	label_L1_action	label_L2	label_L3
Qos5iZOP66A_000340	skidding	car skidding	train screeching	car engine screaming	scraping metal	playing banjo
uSRcSa1-d5o_000098	parrot talking	parrot talking	baby babbling	parrot squawking	squeezing rubber toy	cricket chirping
yIXMPZL2eSQ_000042	cat purring	cat purring	person snoring	cat snoring	engine idling	playing clarinet
KhjtXdPpEHM_000099	dog baying	dog baying	fox barking	dog yelping	squeaky door hinge	female singing
ZwzKM1_rx5g_000015	playing tympani	playing tympani	gorilla beating chest	punching punching bag	thunder rumbling	electric grinder grinding
g3JUdaGVCLk_000030	goat bleating	goat bleating	baby crying	goat coughing	squeaky toy	bouncing on trampoline
My0YmR6tYAk_000060	vacuum cleaner cleaning floors	vacuum cleaner	hair dryer blowing	vacuum cleaner whining	pressure washer spraying	people screaming
YzUXMKt3nF4_000026	driving snowmobile	driving snowmobile	driving jet ski	snowmobile revving	chainsaw running	skateboarding
hUJWpx4ji1M_000092	playing bongo	playing bongo	playing conga	tapping bongo	slapping table	elephant trumpeting
E3XIdP8kxwg_000110	skateboarding	skateboarding	riding scooter	moving furniture	dropping wooden planks	singing choir
F0CgRLr_pTI_000003	wind chime	wind chime	small bells ringing	wind chime tinkling	stirring ice in a glass	roller coaster running
MrHp70quN94_000030	motorboat, speedboat acceleration	speedboat acceleration	truck accelerating	speedboat engine roaring	earthquake rumbling	airplane
xv3l1Blx6JQ_000250	people belly laughing	people belly laughing	hyena laughing	people coughing	squeaky toy	children shouting
3LtXT2KVI-c_000030	cat meowing	cat meowing	baby crying	cat coughing	squeaky toy	baby laughter
IkS4Dfi2m10_000162	missile launch	rocket launch	jet engine roaring	rocket engine roaring	geyser erupting	people coughing
IwqNzs5BSvs_000046	fox barking	fox barking	dog barking	fox coughing	chopping wood	mosquito buzzing
-7tYmeOmsRg_000180	people eating crisps	people eating crisps	dog eating kibble	crushing plastic bottle	walking on snow	fire crackling
8Hye31i3cUI_000092	alligators, crocodiles hissing	crocodile hissing	steam pipe hissing	crocodile growling	hydraulic machine	wind rustling leaves
UFIBEBkm7ao_000030	driving motorcycle	driving motorcycle	driving race car	motorcycle accelerating	electric saw cutting	typing on typewriter
Wj5qDj8_nSw_000025	people cheering	people cheering	monkeys screeching	people shouting	waterfall roaring	playing vibraphone
AKmkhvb9shk_000000	baltimore oriole calling	baltimore oriole calling	person whistling	baltimore oriole singing	car alarm chirping	disc scratching
lAXpiE0dm_k_000340	playing piano	playing piano	playing harpsichord	typing on keyboard	tap dancing	people shuffling
Ih0xy7tt2JY_000030	helicopter	helicopter	propeller plane	helicopter engine idling	washing machine spinning	owl hooting
nCqe6N5e__0_000000	playing oboe	playing oboe	playing clarinet	whistling	air raid siren	people whistling
1Thl21awe2g_000020	car engine knocking	car engine knocking	lawn mower engine sputtering	car engine idling	jackhammer drilling	dog whimpering
YbLR6dgY-K4_000030	playing banjo	playing banjo	playing guitar	drumming on banjo	typing on keyboard	car engine idling
MDa1ZVdDz2Y_000060	splashing water	splashing water	dog paddling	baby clapping	drumming on bongo	parrot talking
jDSo2g-tW98_000019	chipmunk chirping	chipmunk chirping	bird chirping	chipmunk squeaking	squeaky toy	playing tympani
_Sll3DT8FxE_000041	baltimore oriole calling	baltimore oriole calling	mouse squeaking	baltimore oriole whistling	squeaky toy	sea lion barking
uR0W234PpW4_000017	owl hooting	owl hooting	dove cooing	owl barking	blowing into jug	cat purring
ncHAOlb2wgw_000068	coyote howling	coyote howling	dog barking	coyote yipping	squeaky toy	disc scratching
pNin81AXlRY_000005	lions growling	lions growling	bear growling	lions snoring	distant thunder	striking bowling
w2vMywh5Nto_000010	playing mandolin	playing mandolin	playing banjo	mandolin strumming	typing on typewriter	volcano explosion
J2zZ026RO9c_000095	train whistling	train whistling	ship horn blowing	train braking	dinosaur roaring	baby crying
_8VTJcZAwaw_000003	playing tambourine	playing tambourine	playing maracas	tambourine rattling	shaking keys	tornado roaring
eM0PkfqGmIE_000030	playing bass guitar	playing bass guitar	playing banjo	slapping bass guitar	typing on keyboard	penguins braying
trg8QrMK6dc_000002	cuckoo bird calling	cuckoo bird calling	owl hooting	cuckoo bird chirping	squeaky toy	elk bugling
ddtqWAxjBI8_000031	elk bugling	elk bugling	wolf howling	elk screaming	air raid siren	people slurping
KlTTpDOhFUg_000063	race car, auto racing	race car	jet engine roaring	race car engine exploding	rocket launching	playing zither
mCaniZpghFE_000310	playing harp	playing harp	playing piano	tapping harp	music box	air conditioning noise
gFs6lRAQsLg_000160	people whispering	people whispering	cat purring	people breathing	leaves rustling	playing electric guitar
UCtiIWMRy-M_000004	sea lion barking	sea lion barking	donkey braying	sea lion coughing	engine sputtering	penguins braying
rCfU5yBlw7U_000108	airplane flyby	airplane flyby	racing car passing	airplane diving	fire whooshing	playing tuning fork
r-5NCjm4GlQ_000053	tap dancing	tap dancing	horse trotting	drumming fingers	typewriter typing	helicopter
jtfG2FbwINE_000121	people giggling	people giggling	kitten meowing	people hiccuping	squeezing rubber duck	chipmunk chirping
6BlGk51vrbY_000275	coyote howling	coyote howling	wolf howling	coyote yelping	woman screaming	turkey gobbling
ImTFnUGgOZo_000091	elephant trumpeting	elephant trumpeting	trombone playing	elephant growling	didgeridoo playing	playing french horn
GafN7X_ifI0_000030	horse clip-clop	horse clip-clop	person running	horse galloping	knocking on wooden door	cell phone buzzing
2BR2Ivk_EFA_000021	owl hooting	owl hooting	wolf howling	owl whining	blowing into bottle	typing on computer keyboard
o-xlfN7kkOA_000030	playing ukulele	playing electric guitar	playing bass guitar	man singing	printing press running	wind chime
ZUp2sBZvw5Q_000082	train wheels squealing	train wheels squealing	car brakes squealing	train whistle blowing	violin scraping	tapping guitar
PyXQVNaAbHc_000030	people coughing	people coughing	dog barking	people laughing	engine sputtering	tapping guitar
yKKMhxuHcJ4_000041	telephone bell ringing	telephone bell ringing	doorbell ringing	telephone buzzing	electric shaver running	writing on blackboard with chalk
EOKUV6hgMhM_000122	helicopter	helicopter hovering	airboat engine	helicopter engine roaring	giant bumblebee buzzing	baltimore oriole calling
WTlaLznHD1c_000053	driving snowmobile	driving snowmobile	driving jet ski	snowmobile engine revving	chainsaw cutting	playing sitar
UF0HDsK0fwo_000070	chainsawing trees	chainsawing trees	motorcycle revving	chainsaw malfunctioning	electric guitar distortion	singing choir
RTLGAJZ8WzM_000219	airplane	airplane	rocket engine	airplane taking off	avalanche rumbling	canary calling
sFhwuCH4-J8_000200	tap dancing	tap dancing	horse trotting	hand drumming	typewriter typing	playing shofar
6e8U65rgekA_000046	people battle cry	people battle cry	soldiers chanting	people stomping	pile driver	playing harpsichord
t_RxQe51MVo_000010	dog baying	dog baying	wolf howling	dog howling	air raid siren	people cheering
6-RIiM19Be8_000160	male speech, man speaking	man speaking	children shouting	man arguing	flock of birds chirping	baby crying
meoZvdQ2qBs_000162	missile launch	missile launch	jet engine roaring	missile flying	waterfall roaring	playing erhu
bppgcyxMKvQ_000620	child singing	child singing	woman singing	child speaking	saxophone playing	cell phone buzzing
4P518ZMug-U_000115	people booing	people booing	crowd cheering	people groaning	heavy machinery running	playing didgeridoo
nEmU3E8rras_000012	playing washboard	playing washboard	playing guiro	scratching washboard	sawing wood	penguins braying
2HZcxlRs-hg_000030	reversing beeps	reversing beeps	smoke detector beeping	truck signal ticking	heartbeat monitor	cupboard opening or closing
cyZ9arOPVb8_000030	goat bleating	goat bleating	auctioneer speaking	goat chattering	machine gun firing	playing cello
2M0i--pR-To_000037	playing bongo	playing bongo	playing conga	slapping table	splashing water	eagle screaming
avtZJKydB-E_000079	snake rattling	snake rattling	cicada buzzing	snake hissing	water sprinkler	canary calling
g-ghr5fAVpE_000030	playing didgeridoo	playing didgeridoo	playing alphorn	didgeridoo droning	vacuum cleaner running	playing electric guitar
DqQT03hOLA4_000240	waterfall burbling	waterfall burbling	cauldron bubbling	waterfall roaring	fire roaring	wind noise
bcBixpb5TdI_000098	pheasant crowing	pheasant crowing	rooster crowing	pheasant squawking	door creaking	playing cornet
XVqQKMMGoUs_000061	baltimore oriole calling	baltimore oriole calling	human whistling	baltimore oriole chirping	squeaky toy	golf driving
hCX2DpwEBQY_000030	fireworks banging	fireworks banging	gun shooting	fireworks exploding	engine backfiring	sheep bleating
O69hivnI5oM_000073	playing castanets	playing castanets	rattlesnake rattling	typing on keyboard	geiger counter clicking	sloshing water
4GclkzsR830_000030	car passing by	car passing by	airplane passing by	car engine running	heavy wind blowing	hammering nails
WmZicfOUkd0_000014	children shouting	children shouting	crowd chanting	children singing	geese honking	eating with cutlery
rPGgxEE2hjk_000091	pheasant crowing	pheasant crowing	chick chirping	pheasant sneezing	squeaky toy	cat purring
QoffZQFqxkQ_000003	ice cream truck, ice cream van	ice cream truck	music box playing	ice cream truck alarm sounding	video game music	sea lion barking
pUn8YqN2meU_000009	playing cornet	playing cornet	playing trumpet	woman singing	squeaky toy squeaking	blowtorch igniting
IiYSoGSDUY8_000030	playing harpsichord	playing harpsichord	playing piano	typing on keyboard	tap dancing	people sneezing
_3kxB2-MfWI_000030	people whistling	people whistling	bird singing	people playing flute	video game sounds	lions roaring
GdFlyobMoAE_000009	playing bongo	playing bongo	playing congas	slapping table	typewriter typing	canary calling
JVjDa0NmfeE_000012	cat hissing	cat hissing	dog growling	cat yowling	creaking door	lions growling
Fl_gvQ9bPvM_000129	eletric blender running	electric blender running	vacuum cleaner running	electric blender struggling	synthesizer sweeping	bull bellowing
6QvSd79Ocw8_000030	bird chirping, tweeting	bird chirping	mouse squeaking	bird pecking	wet shoes squeaking	playing badminton
JLtieDCSa6Y_000000	people coughing	people coughing	dog coughing	person sneezing	hammering nail	plastic bottle crushing
vY7O2jWCWdQ_000374	playing mandolin	playing mandolin	playing guitar	tapping mandolin	typing on keyboard	tornado roaring
opSdcEJ1UF0_000371	people battle cry	people battle cry	lion roaring	people shouting	bass drum	playing synthesizer
9xV0nmojVeg_000030	playing acoustic guitar	playing acoustic guitar	playing harp	tapping on acoustic guitar	typing on keyboard	wind chime
Vbc-veezx0w_000030	goat bleating	goat bleating	sheep baaing	goat coughing	squeaky door	skidding
OIqd2UrvGcI_000109	ice cream truck, ice cream van	ice cream truck	music box	ice cream truck alarm	video game music	people cheering
Ri47GANmuQ4_000016	elephant trumpeting	elephant trumpeting	donkey braying	elephant roaring	foghorn blowing	blowtorch igniting
qxnBcZ0CETg_000171	airplane	airplane taking off	rocket engine	airplane flying by	powerful waterfall	horse neighing
4vzHgTC_16s_000010	alligators, crocodiles hissing	alligators hissing	bear growling	alligators roaring	diesel engine running	people screaming
6R8cO4ARzkY_000030	driving motorcycle	driving motorcycle	driving car	motorcycle idling	heavy machinery running	playing erhu
dMW3YcQPPhk_000412	people eating crisps	people eating crisps	dog eating kibble	people chewing ice	walking in snow	car engine idling
zY2CAiwNJ6A_000030	tapping guitar	tapping guitar	playing piano	shredding guitar	typing on keyboard	playing castanets
toTu8BntJPg_000017	elk bugling	elk bugling	horse neighing	elk screaming	brakes squealing	people gargling
LeKSh68pvMQ_000030	horse clip-clop	horse galloping	camel galloping	horse kicking wood	playing drums	door slamming
hwSuNTGOaZc_000030	pigeon, dove cooing	pigeon cooing	owl hooting	pigeon gurgling	stomach rumbling	playing hammond organ
36ToDxW_hns_000090	playing mandolin	playing guitar	playing banjo	scratching guitar strings	typing on keyboard	printer printing
6a5b72cfSbk_000039	pigeon, dove cooing	dove cooing	owl hooting	dove moaning	blowing across bottle top	playing tabla
dweVBqei9LA_000160	vacuum cleaner cleaning floors	vacuum cleaner	hair dryer blowing	vacuum cleaner humming	airplane cabin noise	raining
apiwldD6mRo_000020	cow lowing	cow lowing	man groaning	cow groaning	didgeridoo droning	playing saxophone
MmMtqNIzmjg_000075	people eating noodle	woman eating	pig eating	woman drinking soup	playing with slime	playing cornet
FrCNRlxXulg_000012	woodpecker pecking tree	woodpecker pecking	person hammering	woodpecker calling	typewriter typing	helicopter
EqfXm8FwFe0_000009	rowboat, canoe, kayak rowing	kayak rowing	person swimming	kayak struggling	stirring large pot	strike lighter
lEjV0us_eF0_000021	yodelling	yodelling	coyote howling	man singing opera	ambulance siren	strike lighter
raCIGB3B4mg_000286	driving snowmobile	driving snowmobile	driving jet ski	snowmobile engine revving	chainsaw cutting wood	playing hammond organ
jEP-WEblweY_000115	train horning	train horn	foghorn	train whistle	giant walking	people eating noodle
8eFIwBWxrxU_000075	bathroom ventilation fan running	bathroom ventilation fan running	air conditioner running	bathroom ventilation fan humming	distant waterfall	chinchilla barking
44Nt8WOHyyU_000040	playing accordion	playing accordion	playing organ	pumping bellows	sewing machine running	playing volleyball
0MU2SG5ME1E_000016	fox barking	fox barking	baby crying	fox screaming	squeezing rubber toy	children shouting
cpxofMBzU8g_000181	canary calling	canary calling	sparrow chirping	canary chirping	geiger counter clicking	police car (siren)
OMaV10b6-CU_000140	people sobbing	people sobbing	puppy crying	people screaming	creaking door	hair dryer drying
-5z9IXBJefc_000227	playing djembe	playing djembe	playing bongos	slapping table	tap dancing	wind noise
zxxWGaZIxD0_000289	alarm clock ringing	alarm clock ringing	smoke detector beeping	alarm clock beeping	truck reversing	people sneezing
ifGuIUPl1hE_000030	lions roaring	lion roaring	bear growling	lion coughing	engine sputtering	playing bass drum
PyponzntqzM_000036	people booing	people booing	cows mooing	people groaning	avalanche rumbling	cuckoo bird calling
U7vFb50UjgY_000040	lions roaring	animal scratching	dog scratching door	animal tapping	knocking on door	children shouting
gd2-qjVH_DI_000020	playing timbales	playing timbales	playing bongos	slapping table	typing on keyboard	playing bongo
GO2Tf8KLJ14_000061	playing steel guitar, slide guitar	playing steel guitar	playing violin	tapping on steel guitar	rubbing wet finger on wine glass	people sniggering
jcKRIZHO37k_000082	wood thrush calling	wood thrush calling	person whistling	wood thrush squeaking	flute music	pig oinking
KDgNhw175fM_000089	yodelling	yodelling	auctioneer chanting	beatboxing	machine gun firing	ripping paper
0LwSy-xZSPw_000112	male singing	male singing	female singing	male chanting	playing cello	playing washboard
5j-4OJ7XpDM_000222	black capped chickadee calling	bird singing	cricket chirping	bird pecking	geiger counter clicking	francolin calling
MueF0HZVVcg_000011	playing castanets	playing castanets	tap dancing	snapping fingers	rattlesnake rattling	reversing beeps
SuRVsbK22io_000320	people burping	people burping	pig grunting	people gargling	drain gurgling	playing drum kit
BUGx2e7OgFE_000030	playing harmonica	playing harmonica	playing accordion	man whistling	bird singing	ripping paper
9jrTswHdg4I_000290	hair dryer drying	hair dryer drying	vacuum cleaner running	hair dryer blowing	shower running	bull bellowing
S7WDWv7kqhg_000197	people marching	people marching	marching band playing	people stomping	train running	playing electric guitar
vXBBhgvMCkM_000210	lawn mowing	lawn mowing	chainsaw running	lawnmower engine idling	vacuum cleaner running	popping popcorn
ZIPScztJi0M_000049	cricket chirping	cricket chirping	cicada buzzing	cricket buzzing	geiger counter clicking	people giggling
XXkTYV7NqIA_000275	dinosaurs bellowing	dinosaurs bellowing	monster roaring	dinosaurs roaring	war horn blowing	cat growling
x9MU-enAr8A_000257	alarm clock ringing	alarm clock ringing	smoke detector beeping	alarm clock chirping	robot beeping	chicken crowing
gaFQgJLQHtU_000090	car engine starting	engine accelerating	chainsaw revving	engine backfiring	gunshots	playing tennis
7ivVufYPEnA_000268	playing djembe	playing djembe	gorilla beating chest	slapping table	typewriter typing	playing gong
01SaXyGY5SM_000030	cat caterwauling	cat caterwauling	baby crying	cat whining	door creaking	toilet flushing
DHoVXJe-MXY_000293	playing glockenspiel	playing glockenspiel	music box playing	typing on keyboard	woodpecker pecking	foghorn
B-K7y3QUkkw_000030	people babbling	baby babbling	kitten meowing	baby whimpering	squeaky toy	bird squawking
FHhZzDbLmw0_000016	snake hissing	snake hissing	steam hissing	snake wheezing	aerosol spray	elk bugling
qkvIEmIRP4g_000030	fire truck siren	fire truck siren	ambulance siren	fire truck alarm sounding	synthesizer wailing	pumping water
HhsGpNE4abY_000300	playing hammond organ	playing hammond organ	playing synthesizer	organ music	choir singing	black capped chickadee calling
lVye-L3oq6A_000030	people finger snapping	people finger snapping	castanets clicking	people tapping	typewriter typing	driving buses
b71sYw2hZB0_000030	playing bugle	playing bugle	goose honking	bugle call	duck call	cell phone buzzing
EBHtpU1tB3E_000000	penguins braying	penguins braying	donkey braying	penguins squawking	air raid siren	otter growling
gCHF0oBPZv8_000030	dog howling	dog howling	wolf howling	dog whining	ambulance siren	playing guiro
DtUw0XOALfk_000064	playing bass drum	playing bass drum	beatboxing	typing on typewriter	horse galloping on pavement	playing glockenspiel
q3kIovi3flQ_000018	warbler chirping	warbler chirping	mouse squeaking	warbler peeping	smoke detector beeping	playing piano
hH6thMA3640_000120	playing banjo	playing banjo	playing mandolin	typing on keyboard	sawing wood	bird wings flapping
kWdmJHAFMxk_000031	electric grinder grinding	electric grinder grinding	vacuum cleaner running	electric grinder polishing	swarm of bees buzzing	fireworks banging
n88E2blrCiU_000185	electric grinder grinding	electric grinder grinding	chainsaw cutting	electric grinder running	air raid siren	rope skipping
_AadO6XA3OU_000030	people babbling	people babbling	monkey chattering	people giggling	squeaky toy	playing harmonica
RncwRj1HhQc_000337	people eating noodle	woman eating	pig eating	woman brushing teeth	slime squishing	playing harp
L3a132_uApg_000090	railroad car, train wagon	railroad car	roller coaster running	train rumbling	conveyor belt running	reversing beeps
iTCfi5_b4Ow_000035	playing erhu	playing erhu	playing violin	man singing	squeaking door	child singing
favWHteInt0_000448	wind chime	wind chime	church bell tolling	wind chime being struck	slamming a metal gate	electric grinder grinding
XrNfbjSoitY_000080	people hiccup	person hiccuping	baby hiccuping	person coughing	popping cork	underwater bubbling
ebvV-vMMmpg_000038	pheasant crowing	pheasant crowing	peacock calling	pheasant squawking	bicycle horn beeping	playing guiro
fLPEAElOWho_000148	playing bass drum	playing bass drum	heartbeat	bass drum thumping	stomping on floor	playing synthesizer
syJs8zsdI8o_000034	playing gong	playing gong	ringing large bell	gong resonating	rolling thunder	playing acoustic guitar
AF0CtMb81t8_000030	dog barking	dog barking	man shouting	dog coughing	door slam	people humming
7nl6lLs3dn8_000119	people humming	people humming	woman singing	people whistling	theremin playing	people booing
A7pW5W-4snM_000150	vacuum cleaner cleaning floors	vacuum cleaner	hair dryer blowing	vacuum cleaner idling	electric shaver buzzing	dog baying
fowc2nadbvE_000000	playing trumpet	playing trumpet	playing saxophone	trumpet solo	typing on keyboard	bathroom ventilation fan running
18212B4yfLg_000080	lighting firecrackers	lighting firecrackers	cannon firing	fireworks popping	machine gun firing	helicopter
tIPnM_oW39U_000173	yodelling	yodelling	wolves howling	choir chanting	playing the organ	striking bowling
lAF6nVFk6Is_000077	dog growling	dog growling	tiger growling	dog snoring	engine idling	train horning
jVbT8XQkJx8_000094	playing oboe	playing oboe	playing clarinet	woman whistling	bird singing	playing shofar
QBMDnMRwQCc_000070	helicopter	helicopter flying	propeller plane flying	helicopter engine running	wind turbine spinning	dog growling
3vpG1PgFF34_000030	playing harpsichord	playing harpsichord	playing piano	typing on keyboard	geiger counter clicking	people eating apple
tsKGLd-n3HI_000025	people nose blowing	nose blowing	horse snorting	person sneezing	aerosol spray can	people eating
LIU7EYJEbYQ_000010	driving buses	driving buses	driving trucks	bus honking	trombone playing	ripping paper
4K6nNmzeTk0_000030	people sobbing	people sobbing	puppy whining	people laughing	squeaky toy	missile launch
74j6uEsqh4M_000120	playing guiro	playing guiro	playing washboard	sawing wood	brushing teeth	people screaming
RfbXTxSx8jo_000350	people eating apple	people eating apple	horse eating	eating celery	walking on snow	spraying water
AIVt3e5EVtc_000070	people coughing	people coughing	dog barking	people gagging	engine sputtering	lions growling
DUSKxRMntZY_000268	slot machine	slot machine	arcade machine	slot machine paying out	music box playing	dog whimpering
DjPrMmqCqlg_000075	eletric blender running	electric blender running	electric drill drilling	electric blender pulsing	race car revving	eating with cutlery
EqkH0kLuIic_000054	train horning	train horn	ship horn	train whistle	air raid siren	chicken clucking
cOgNXgF21u4_000030	playing acoustic guitar	playing acoustic guitar	playing piano	tapping on acoustic guitar	sawing wood	running electric fan
9FoazVf3CVg_000030	bird chirping, tweeting	bird chirping	chick peeping	bird pecking	shuffling cards	goat bleating
MUC3GjvBI7I_000030	horse clip-clop	horse clip-clop	tap dancing	horse galloping	knocking on wooden door	reversing beeps
3eaA8bsLJBA_000042	playing cornet	playing cornet	playing saxophone	cornet solo	opera singing	chopping food
2ZZEtUCIkUw_000030	dog bow-wow	dog barking	lion roaring	dog snapping	engine sputtering	playing banjo
076qdKSC8nU_000030	tapping guitar	tapping guitar	synthesizer playing	strumming guitar	church bell	playing djembe
_cES7Twcq18_000006	playing cornet	playing cornet	playing trumpet	cornet music	woman singing	cattle mooing
A7o-wmriwc8_000007	wood thrush calling	wood thrush calling	squirrel chattering	wood thrush chirping	squeaky toy	whale calling
vVle7Qb4tDU_000056	tractor digging	tractor digging	excavator digging	tractor loading truck	garbage truck operating	people slapping
6HA2HwIJ2Mw_000006	sheep bleating	sheep bleating	goat bleating	sheep coughing	squeaky toy	people whispering
i7zNzUXtXj0_000215	popping popcorn	popping popcorn	popping bubble wrap	popcorn snapping	fire crackling	firing muskets
IE4pLXxV7MQ_000000	bull bellowing	bull bellowing	bear growling	bull grunting	diesel engine starting	golf driving
f724u5z_UDw_000030	driving motorcycle	motorcycle idling	chainsaw idling	motorcycle engine sputtering	tiger purring	playing glockenspiel
a5vTn5286-A_000080	skidding	skidding	train braking	car engine whining	electric guitar feedback	telephone bell ringing
eGzcSSGZzqM_000000	cap gun shooting	cap gun shooting	nail gun shooting	cap gun parts clicking	using a stapler	mynah bird singing
1RhYdQnZ_hw_000030	female singing	female singing	male singing	female humming	saxophone playing	dog whimpering
wTN2MR0oMZ0_000032	playing glockenspiel	playing glockenspiel	playing xylophone	striking glockenspiel	tapping drinking glass	lions growling
DitJemO43co_000014	ice cream truck, ice cream van	ice cream truck	music box playing	ice cream truck alarm	arcade game music	elephant trumpeting
SNhfvhWPXNc_000030	playing electric guitar	playing electric guitar	playing synthesizer	electric guitar solo	person whistling	owl hooting
jqqjc0XrU58_000092	playing djembe	playing djembe	playing congas	slapping table	typing on keyboard	squishing water
NYKrP5HnEC8_000030	playing gong	playing gong	playing singing bowl	rubbing gong	heavy machine humming	bathroom ventilation fan running
B5XbkI3zj3U_000059	coyote howling	coyote howling	wolf howling	coyote crying	ambulance siren	playing french horn
Cs0UHi69c7Y_000030	playing zither	playing zither	playing harp	zither chiming	typing on keyboard	writing on blackboard with chalk
0ti14lvd2Aw_000000	pheasant crowing	pheasant crowing	rooster crowing	pheasant squawking	squeezing rubber duck	playing hammond organ
DKPvyyDnRe4_000003	missile launch	missile launch	artillery firing	missile exploding	engine backfiring	singing bowl
CDABuTQLNe8_000140	opening or closing drawers	opening or closing drawer	sliding door opening	drawer scraping	dragging furniture	woodpecker pecking tree
AMLJZImQ5Xk_000030	mouse squeaking	mouse squeaking	bird chirping	mouse chittering	squeaky toy	driving snowmobile
5DN1Q9s5B20_000030	cat hissing	cat hissing	snake hissing	cat snarling	aerosol can spraying	chopping food
XuaJVdMCCoU_000030	dog barking	dog barking	seal barking	dog coughing	knocking on door	cattle mooing
6vFwzk19b4A_000010	chimpanzee pant-hooting	chimpanzee pant-hooting	gorilla screaming	chimpanzee screaming	woman laughing hysterically	plastic bottle crushing
sbpW3Z87Nbc_000030	cattle mooing	cattle mooing	bull bellowing	cattle groaning	foghorn blowing	playing synthesizer
ADtA2TMXVvo_000092	playing cornet	playing cornet	playing saxophone	man singing	synthesizer playing	sloshing water
oIgPIGUQ8yY_000030	playing trombone	playing trombone	men singing	man humming	foghorn blowing	typing on computer keyboard
3vDDWN5GKAA_000139	playing snare drum	playing snare drum	marching band drumming	playing buckets	machine gun fire	playing timpani
C4EJRCN7f7Q_000558	child singing	child singing	woman singing	child wailing	violin playing	playing timbales
amniAzV2-jM_000030	people burping	people burping	monster growling	people roaring	drain gurgling	chicken clucking
7QpwDHOfZeg_000350	playing hammond organ	playing hammond organ	playing synthesizer	hammond organ resonating	turbine engine running	driving buses
BiRPlINV5N4_000023	dog baying	dog baying	wolf howling	dog crying	chopping wood	playing bagpipes
LiXfod3qOQw_000020	turkey gobbling	turkey gobbling	person gargling	turkey chattering	engine sputtering	chicken clucking
0q5kQGcOn2I_000083	francolin calling	francolin calling	chickens clucking	francolin chirping	people chattering	rope skipping
q2ATPV_el44_000080	playing electronic organ	playing electronic organ	playing electric guitar	electronic organ glitching	video game sounds	shot football
dxVMVOPXRUQ_000069	playing oboe	playing oboe	playing clarinet	oboe practicing	person whistling	tractor digging
f61vxWAeITg_000070	people babbling	people babbling	bird chirping	people coughing	squeaky toy	playing didgeridoo
FsywuRmOMTM_000030	playing acoustic guitar	playing acoustic guitar	playing ukulele	tapping on guitar	typing on keyboard	driving motorcycle
davLHMXIHDM_000320	reversing beeps	reversing beeps	forklift beeping	truck horn honking	metronome ticking	woodpecker pecking tree
Ti0Ck0xTdw4_000030	typing on computer keyboard	typing on computer keyboard	typing on typewriter	computer mouse clicking	rain hitting window	hammering nails
MnGVz1Xu4L4_000046	train wheels squealing	train wheels squealing	car brakes screeching	train wheels grinding	power saw cutting metal	driving snowmobile
tYCgvipu3ko_000043	snake rattling	snake rattling	person shaking spray can	snake hissing	sprinkler spraying water	police radio chatter
4UCZF_UnG10_000027	engine accelerating, revving, vroom	engine accelerating	chainsaw revving	engine struggling	buzz saw cutting metal	swimming
Qa_6nlhGR9k_000051	canary calling	canary calling	sparrow chirping	canary whistling	digital alarm clock	cat caterwauling
rmzYDIM8xsM_000028	woodpecker pecking tree	woodpecker pecking	typewriter typing	woodpecker clicking	hammering nails	door slamming
Vx3kxcFd5GU_000022	people giggling	people giggling	monkey chattering	people hiccuping	squeaky toy	train horning
u3fTQHv01rE_000163	people giggling	people giggling	monkeys chattering	people beatboxing	rubber duck squeaking	fireworks banging
VYQfSG_FUjY_000080	people hiccup	person hiccuping	dog coughing	person coughing	squeezing rubber toy	pheasant crowing
3cThgRIaqgU_000016	playing trumpet	playing trumpet	playing trombone	person singing	foghorn blowing	fox barking
5-FHy1Q61n8_000114	dog baying	dog baying	wolf howling	dog barking	starting a chainsaw	footsteps on snow
IMOQv1QHxSQ_000041	chipmunk chirping	squirrel chirping	bird chattering	squirrel squeaking	geiger counter clicking	playing bass guitar
tu3g4ZBt3o0_000030	typing on typewriter	typing on typewriter	typing on computer keyboard	tapping fingers on desk	tap dancing	ocean burbling
nzrNxN3vG1w_000030	female singing	female singing	male singing	female speaking	violin playing	playing djembe
rdVo1ikBoJA_000000	people sobbing	people sobbing	dog howling	people screaming	ambulance siren	train horning
wurA98TaEr4_000031	airplane flyby	airplane flyby	rocket flying	airplane diving	train passing	people running
GteozUDpJRc_000030	engine accelerating, revving, vroom	engine accelerating	motorcycle accelerating	engine backfiring	lion roaring	children shouting
it0U4Vscl5o_000208	people slurping	person chewing	dog chewing	breaking twigs	chopping vegetables	people burping
SSor5MN-QJM_000056	barn swallow calling	barn swallow calling	chick peeping	barn swallow chirping	styrofoam rubbing	lawn mowing
uvlhlXGMPos_000030	dog growling	dog growling	bear growling	dog snoring	engine idling	woodpecker pecking tree
CLtTzEgjeJk_000066	playing bugle	playing bugle	playing saxophone	bugle call	siren wailing	people giggling
ycYXVLz9v3Y_000000	playing bugle	playing bugle	playing trumpet	bugle call	car horn honking	driving buses
sP0anQjatZQ_000032	chipmunk chirping	chipmunk chirping	squeaky toy squeaking	chipmunk hiccuping	laser gun shooting	pheasant crowing
GouCuaIlrTU_000036	people giggling	people giggling	monkey chattering	people hiccuping	squeaky toy	vacuum cleaner cleaning floors
tJT4SruI5Hs_000018	chimpanzee pant-hooting	chimpanzee pant-hooting	monkey howling	chimpanzee screaming	squeaky toy	civil defense siren
